date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:33:31	331/331	---M-Z	200	added ('OK')	text/plain	date:Sat,%2025%20Feb%202023%2013:30:16%20GMT	https://www.sheffieldigem.com/robots.txt		(from )
13:33:31	89068/89068	---M-Z	200	added ('OK')	text/html	etag:W/%22da5565f4c62a9a506c3180cdd6d32bd1%22	https://www.sheffieldigem.com/	./Sheffield%20iGEM/www.sheffieldigem.com/index.html	(from )
13:34:25	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Sat,%2025%20Feb%202023%2013:34:01%20GMT	http://static1.squarespace.com/static/59427d3cd2b857e783255062/t/614b727b3b152725345e59ba/1632334459788/242405991_999541444232753_5485604915236322226_n.png?format=1500w	./Sheffield%20iGEM/static1.squarespace.com/static/59427d3cd2b857e783255062/t/614b727b3b152725345e59ba/1632334459788/242405991_999541444232753_5485604915236322226_n.126f7.delayed	(from https://www.sheffieldigem.com/)
13:34:25	8/8	---M--	200	added ('OK')	text/html	date:Sat,%2025%20Feb%202023%2013:34:24%20GMT	https://images.squarespace-cdn.com/	./Sheffield%20iGEM/images.squarespace-cdn.com/index.html	(from https://www.sheffieldigem.com/)
13:34:25	14025/14025	---M-Z	-1	error ('Error%20when%20decompressing')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	./Sheffield%20iGEM/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.2.delayed	(from https://www.sheffieldigem.com/)
13:34:25	6229/6229	---M--	200	added ('OK')	image/png	etag:CLzoyJyUk/MCEAE=	https://images.squarespace-cdn.com/content/v1/59427d3cd2b857e783255062/dee088ae-132c-45ee-aa7d-3892490494ab/favicon.ico?format=100w	./Sheffield%20iGEM/images.squarespace-cdn.com/content/v1/59427d3cd2b857e783255062/dee088ae-132c-45ee-aa7d-3892490494ab/favicon.0fc89.delayed	(from https://www.sheffieldigem.com/)
13:34:31	46443/46443	---M-Z	200	added ('OK')	text/javascript	etag:%228ca491e67b4249020df430f9d6df3835%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-f9b67b092b83798ea51d6-min.en-US.js	./Sheffield%20iGEM/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-f9b67b092b83798ea51d6-min.en-US.js	(from https://www.sheffieldigem.com/)
13:34:31	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	./Sheffield%20iGEM/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.sheffieldigem.com/)
13:34:33	121914/121914	---M-Z	200	added ('OK')	text/javascript	etag:%220da90896a2a05c2a8d1acf3d60dbc2f5%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-56fdc0b6309d3f37f75e8-min.en-US.js	./Sheffield%20iGEM/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-56fdc0b6309d3f37f75e8-min.en-US.js	(from https://www.sheffieldigem.com/)
13:34:48	245972/245972	---M-Z	200	added ('OK')	text/javascript	etag:%22c2eaed67533f1f0934474b49b2beed46%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-0fda8ea0a0cf92af6b92e-min.en-US.js	./Sheffield%20iGEM/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-0fda8ea0a0cf92af6b92e-min.en-US.js	(from https://www.sheffieldigem.com/)
